epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,230.628,1.14228,0.95524,1.77683,0.76768,0.98077,0.78404,0.5894,0.90493,1.11029,1.72331,0.000693305,0.000693305,0.000693305
61,233.444,1.12904,0.95581,1.78217,0.75675,0.90386,0.76877,0.5959,0.87902,1.18004,1.69003,0.000676802,0.000676802,0.000676802
62,236.275,1.12995,0.93597,1.74136,0.75931,0.93866,0.75649,0.6149,0.80627,1.05737,1.69149,0.000660299,0.000660299,0.000660299
63,239.201,1.0598,0.90771,1.7365,0.74869,0.96103,0.75503,0.64044,0.7282,0.94482,1.64541,0.000643795,0.000643795,0.000643795
64,242.097,1.05203,0.88834,1.68423,0.74604,0.96753,0.77146,0.62675,0.7984,1.02833,1.67237,0.000627292,0.000627292,0.000627292
65,244.922,1.02263,0.88537,1.67739,0.7493,0.95544,0.77915,0.63655,0.75096,1.03123,1.62173,0.000610789,0.000610789,0.000610789
66,247.701,1.01535,0.83164,1.662,0.77299,0.9522,0.77519,0.62823,0.77678,0.99947,1.63953,0.000594286,0.000594286,0.000594286
67,250.501,1.0226,0.86059,1.69051,0.77416,0.95222,0.7696,0.63106,0.71148,0.98478,1.56996,0.000577782,0.000577782,0.000577782
68,253.404,0.9999,0.82907,1.6444,0.76025,0.95913,0.7552,0.61413,0.73661,1.01645,1.57636,0.000561279,0.000561279,0.000561279
69,256.242,1.00687,0.8356,1.65074,0.74405,0.96697,0.76768,0.60877,0.77429,0.98686,1.58057,0.000544776,0.000544776,0.000544776
70,259.108,1.00003,0.84681,1.65455,0.73683,0.94231,0.75491,0.61191,0.72859,0.93822,1.58296,0.000528272,0.000528272,0.000528272
71,261.944,0.96104,0.80747,1.61035,0.73627,0.95298,0.77601,0.65191,0.67687,0.96989,1.53586,0.000511769,0.000511769,0.000511769
72,264.863,0.97377,0.81999,1.64533,0.74628,0.9683,0.76723,0.64735,0.67327,0.93932,1.51857,0.000495266,0.000495266,0.000495266
73,267.704,0.95143,0.78324,1.58721,0.74625,0.95483,0.76367,0.64654,0.65383,0.90815,1.50921,0.000478762,0.000478762,0.000478762
74,270.548,0.95869,0.78588,1.5908,0.76208,0.94802,0.77265,0.6534,0.65766,0.93928,1.49736,0.000462259,0.000462259,0.000462259
75,273.455,0.9884,0.84095,1.6412,0.76126,0.93869,0.77191,0.67181,0.64354,0.9216,1.4693,0.000445756,0.000445756,0.000445756
76,276.345,0.97296,0.79776,1.61156,0.77125,0.97714,0.78166,0.66171,0.69023,0.86936,1.51098,0.000429253,0.000429253,0.000429253
77,279.189,0.89288,0.7405,1.54025,0.76873,0.98077,0.77948,0.66716,0.62632,0.8848,1.44752,0.000412749,0.000412749,0.000412749
78,282.058,0.92921,0.77457,1.56193,0.76404,0.9615,0.76931,0.64712,0.63374,0.89531,1.4504,0.000396246,0.000396246,0.000396246
79,284.881,0.89231,0.74062,1.54271,0.74602,0.97901,0.7785,0.66016,0.62353,0.91749,1.42665,0.000379743,0.000379743,0.000379743
80,287.712,0.88917,0.72955,1.54756,0.76427,0.93954,0.77223,0.6544,0.63795,0.96086,1.43327,0.000363239,0.000363239,0.000363239
81,290.527,0.87793,0.72488,1.53691,0.7475,0.96995,0.76608,0.65793,0.62396,0.98927,1.43372,0.000346736,0.000346736,0.000346736
82,293.321,0.85289,0.71303,1.53526,0.76229,0.97362,0.76087,0.63692,0.62783,1.0008,1.4403,0.000330233,0.000330233,0.000330233
83,296.125,0.86276,0.71686,1.52114,0.75537,0.96484,0.7696,0.65238,0.62277,0.97112,1.45701,0.000313729,0.000313729,0.000313729
84,298.968,0.8687,0.70192,1.51782,0.7324,0.97544,0.79404,0.68736,0.57802,0.9551,1.42387,0.000297226,0.000297226,0.000297226
85,301.859,0.8848,0.72236,1.52461,0.73396,0.98077,0.81758,0.69352,0.59127,0.91091,1.39892,0.000280723,0.000280723,0.000280723
86,304.758,0.85786,0.69422,1.4909,0.76433,0.95255,0.82044,0.70476,0.59765,0.8634,1.39693,0.00026422,0.00026422,0.00026422
87,307.662,0.83699,0.67328,1.49249,0.76222,0.96087,0.80013,0.7002,0.57456,0.89869,1.36004,0.000247716,0.000247716,0.000247716
88,310.495,0.82562,0.67636,1.47823,0.76465,0.95685,0.7863,0.68483,0.56082,0.94767,1.3511,0.000231213,0.000231213,0.000231213
